id	cj6	cj5	cj5f	unicode
29894	MBV2	XXMBV	MBV	
29895	MBWLG	XXMBW	MBWLG	
29896	MBXHU			
29897	MBYCR	MBYCB	MBYCB	29C50
29898	MBYE	MBYE	MBYE	3A85
29899	MBYJ	MBYJ	MBYJ	29C2E
29900	MBYK	XMBYK	MBYK	4C1A
29901	MBYVO	MBYVO	MBYVO	29C36
29902	MC	MC	MC	354B
29903	MCA	XXMCA	MCA	23146
29904	MCA1	XMCA	MCA	23269
29905	MCG	XMCG	MCG	2124A
29906	MCHEC	MCHEC	MCHEC	27E43
29907	MCMK	MCMK	MCMK	
29908	MCMZ	MCMBC	MCMBC	2951F
29909	MCNO	MCNO	MCNO	20AA2
29910	MCOE	MCOE	MCOE	
29911	MCP	XMCP	MCP	22980
29912	MCT	XMCT	MCT	
29913	MCW	MCW	MCW	897F
29914	MCWHZ	XMWHA	MWHAF	2A039
29915	MCWKS	XXMWK	MWKS	48E6
29916	MCWM	MCWM	MCWM	9149
29917	MCWNL	MWNL	MWNL	286B9
29918	MCWNO	MWNO	MWNO	
29919	MCWN1	XMWNL	MWNL	287F0
29920	MCWOG	MWOG	MWOG	9180
29921	MCWYE	MWYE	MWYE	23000
29922	MC1	XMC	MC	
29923	MD	MD	MD	4E8E
29924	MDBN	MDBN	MDBN	20A6A
29925	MDBT	MDBT	MDBT	76C2
29926	MDBU	MDBU	MDBU	53A2
29927	MDBUU	MDBUU	MDBUU	27880
29928	MDCOR	MDCOR	MDCOR	
29929	MDD	MDD	MDD	20A75
29930	MDDA	MDDA	MDDA	66A6
29931	MDDB	MDDB	MDDB	20AA0
29932	MDDC	MDDC	MDDC	
29933	MDDE	MDDE	MDDE	
29934	MDDG	MDDG	MDDG	20A96
29935	MDDI	MDDI	MDDI	53AF
29936	MDDN	MDDN	MDDN	
29937	MDDO	MDDO	MDDO	20AB4
29938	MDDP	MDDP	MDDP	227CD
29939	MDDX	MDDM	MDDM	6B74
29940	MDEA	MDEA	MDEA	2376D
29941	MDF	MDF	MDF	
29942	MDHQU	MDHQU	MDHQU	23BFC
29943	MDHZ			
29944	MDM	MDM	MDM	4E94
29945	MDMD	MMDD	MMDD	2013B
29946	MDMN			
29947	MDMN1	MMRN	MMRN	
29948	MDMP	XMMP	MMP	5FE2
29949	MDMP1	MMRP	MMRP	
29950	MDMR	MMR	MMR	543E
29951	MDMU	MMBU	MMBU	2512A
29952	MDN	MDN	MDN	
29953	MDNL	MDNL	MDNL	9098
29954	MDNO	MDNO	MDNO	20A71
29955	MDOG	MDOG	MDOG	28F8C
29956	MDOK	MDOK	MDOK	3A80
29957	MDOO	MDOO	MDOO	20A6C
29958	MDRHZ	XXMRH	MRHAF	2A059
29959	MDRMZ			294BE
29960	MDRNL	MRNL	MRNL	90DA
29961	MDRNO			
29962	MDROK	XMROK	MROK	6554
29963	MDRRD	MDRRD	MDRRD	25F79
29964	MDSS	MDSS	MDSS	2366C
29965	MDTIR	MDTIR	MDTIR	20AC6
29966	MDYHM	MDYHM	MDYHM	42B2
29967	MDYH1	XMDYH	MDYHM	
29968	MDYKM	MDYKM	MDYKM	
29969	MDYK1	XMDYK	MDYKM	23801
29970	HE	HE	HE	53CD
29970	ME	XME	ME	
29971	IEA	IEA	IEA	6636
29971	MEA	MEA	MEA	6636
29972	MEB	MEB	MEB	
29972	MLBY	MLBY	MLBY	96E8
29973	MEBHZ			
29974	MEBNL			
29975	MEBU	MEBU	MEBU	403E
29976	MEB1	XMEB	MEB	266EF
29977	MEC	MEC	MEC	28AE3
29978	MEEG	MEEG	MEEG	
29979	MEG	MEG	MEG	21376
29980	MEG1	XMEG	MEG	
29981	MEHEG	MEHEG	MEHEG	21500
29982	MEHEQ	MEHEQ	MEHEQ	22959
29983	MEHZ	MEHAF	MEHAF	
29984	MEKS	MEKS	MEKS	2083B
29985	MEM	MEM	MEM	4E9F
29985	NREM	XNEM	NEM	4E9F
29986	MENO	XMENO	MENO	20A57
29987	MEOAV	MEOIV	MEOIV	4B38
29988	MEOKQ	MEOKQ	MEOKQ	
29989	MER	MER	MER	5518
29990	MERAU	MERAU	MERAU	27805
29991	MEU	MEU	MEU	21EE7
29992	MEVF	MEVIF	MEVIF	25FA9
29993	ME1	ME	ME	6C5E
29994	ME2			23C77
29995	ME3	XXME	ME	23C73
29996	ME4			
29997	MF	MF	MF	4E0D
29998	MFA	MFA	MFA	3AD8
29999	MFAA	MFAA	MFAA	
30000	MFAB	MFAB	MFAB	23207
30001	MFAHU	MFAHU	MFAHU	
30002	MFAM	MFAM	MFAM	
30003	IFAMH	IFAMH	IFAMH	7993
30003	MFAMH	MFAMH	MFAMH	
30004	IFAMO	IFAMO	IFAMO	7994
30004	MFAMO	MFAMO	MFAMO	
30005	MFAOZ	MFAOC	MFAOC	
30006	MFAPP	MFAPP	MFAPP	
30007	IFASS	IFASM	IFASM	79A2
30007	MFASS	MFASM	MFASM	
30008	MFA1	XMFA	MFA	
30009	MFBAA	MFRXU	MFRXU	
30010	MFBAC	MFBAC	MFBAC	
30011	MFBBB	MFBBB	MFBBB	
30012	IFBBR	IFBBR	IFBBR	798D
30012	MFBBR	MFBBR	MFBBR	
30013	MFBBU	MFBBU	MFBBU	
30014	MFBD	MFBD	MFBD	
30015	MFBGR	MFBGR	MFBGR	
30016	MFBHZ	XMBHA	MBHAF	9E0D
30017	IFBJJ	IFBJJ	IFBJJ	7988
30017	MFBJJ	MFBJJ	MFBJJ	
30018	MFBK	MFBK	MFBK	723E
30019	MFBK1	XMFBK	MFBK	53B0
30020	MFBK2	XXMFB	MFBK	
30021	IFBM	IFBM	IFBM	7956
30021	MFBM	MFBM	MFBM	25632
30022	MFBME	MFBME	MFBME	
30023	MFBM1	XMFBM	MFBM	
30024	MFBND	MFBND	MFBND	
30025	IFBOF	IFBOF	IFBOF	
30025	MFBOF	MFBOF	MFBOF	411E
30026	MFBOG			29056
30027	MFBQ	MFBQ	MFBQ	752D
30028	IFBGR	IFBGR	IFBGR	7982
30028	MFBQR	MFBQR	MFBQR	7982
30029	MFBT	MFBT	MFBT	76C3
30030	MFBU	MFBUU	MFBUU	8994
30031	MFBUE	MFBUE	MFBUE	
30032	MFBUU	XMFBU	MFBUU	899D
30033	MFBU1	MFBU	MFBU	25113
30034	MFBU2			27884
30035	IFBUU	IFBUU	IFBUU	8996
30035	MFBU3	IFBUU	IFBUU	8996
30036	MFBVK	MFBVK	MFBVK	
30037	MFBX	MFBHX	MFBHX	
30038	MFBY	MFBY	MFBY	
30039	MFBYE	XMBYE	MBYE	23011
30040	MFC	MMMFC	MMMFC	
30041	MFCK	MFCK	MFCK	20031
30042	MFCMW	MFCMW	MFCMW	
30043	MFCNH	MFCNH	MFCNH	
30044	MFCOR	MFCOR	MFCOR	
30045	MFCRO	MFCRO	MFCRO	
30046	MFCRU	MFCRU	MFCRU	
30047	MFD	MFD	MFD	20A55
30048	MFDDQ	MFDDQ	MFDDQ	
30049	MFDG	MFDG	MFDG	
30050	MFDH	MFDH	MFDH	
30051	MFDHE	MFDHE	MFDHE	
30052	MFDI	MFDI	MFDI	
30053	MFDI1	XMFDI	MFDI	21B3D
30054	MFDJ	MFDJ	MFDJ	
30055	MFDL	MFDL	MFDL	20043
30056	MFDLC	MFDLC	MFDLC	
30057	MFDLN	MFDLN	MFDLN	
30058	IFDMQ	IFDMQ	IFDMQ	7995
30058	MFDMQ	MFDMQ	MFDMQ	
30059	MFDOO	MFDOO	MFDOO	
30060	MFDW	MFDW	MFDW	2004B
30061	MFE	MFE	MFE	23CAE
30062	MFECD	MFECD	MFECD	
30063	MFEED	MFEED	MFEED	
30064	MFEEE	MFEEE	MFEEE	
30065	MFEI	MFEI	MFEI	
30066	MFEID	MFEID	MFEID	
30067	MFEW	MFEW	MFEW	
30068	MFE1	XMFE	MFE	
30069	MFF	MFF	MFF	3DA8
30070	MFFB	MFFB	MFFB	
30071	MFFDQ	MFFDQ	MFFDQ	
30072	MFFH	MFFH	MFFH	
30073	MFFH1	XMFFH	MFFH	20030
30074	IFFKZ	IFFKC	IFFKC	79B7
30074	MFFKZ	MFFKC	MFFKC	
30075	MFFLN	XMFLN	MFLN	34F9
30076	MFFMU	MFFMU	MFFMU	
30077	MFFQ	MFFQ	MFFQ	2563D
30078	MFFV	MFFQV	MFFQV	
30079	MFF1	XMFF	MFF	3DAA
30080	MFF2	XXMFF	MFF	
30081	MFF3			24287
30082	IFG	IFG	IFG	793E
30082	MFG	MFG	MFG	793E
30083	IFGCE	IFGCE	IFGCE	797E
30083	MFGCE	MFGCE	MFGCE	
30084	MFGCG	MFGCG	MFGCG	
30085	MFGG	MFGG	MFGG	
30086	IFGI	IFGI	IFGI	795B
30086	MFGI	MFGI	MFGI	
30087	MFGIT	MFGIT	MFGIT	
30088	IFGNI	IFGNI	IFGNI	79B1
30088	MFGNI	MFGNI	MFGNI	
30089	MFGOW	MFGOW	MFGOW	
30090	MFGP	MFGP	MFGP	
30091	MFGR	MFGR	MFGR	
30092	IFGRR	IFGRR	IFGRR	79A7
30092	MFGRR	MFGRR	MFGRR	
30093	MFGRT	MFGRT	MFGRT	
30094	MFGRZ	MFGRC	MFGRC	
30095	MFGTH	MFGTH	MFGTH	
30096	IFGWC	IFGWC	IFGWC	
30096	MFGWC	MFGWC	MFGWC	4123
30097	MFGZ	MFGLC	MFGLC	2567C
30098	MFG1	XMFG	MFG	21264
30099	MFG2	XXMFG	MFG	21279
30100	MFG3			
30101	MFG4			
30102	MFHA	MFHA	MFHA	
30103	MFHAG	MFHAG	MFHAG	
30104	MFHBK	MFHBK	MFHBK	
30105	MFHDH	MFHDS	MFHDS	
30106	MFHFW	MFHDW	MFHDW	
30107	MFHG	MFHG	MFHG	
30108	MFHGR	MFHGR	MFHGR	
30109	MFHGU	MFHGU	MFHGU	2565D
30110	MFHHH	MFHHH	MFHHH	5F6F
30111	MFHHI	MFHHI	MFHHI	256D6
30112	MFHHV	MFHHV	MFHHV	
30113	MFHHW	MFHHW	MFHHW	
30114	MFHH1	XMFHH	MFHHH	
30115	MFHH2	XXMFH	MFHHH	
30116	MFHIO	MFHVO	MFHVO	74E2
30117	IFHJD	IFHJD	IFHJD	7969
30117	MFHJD	MFHJD	MFHJD	
30118	MFHJR	MFHJR	MFHJR	
30119	IFHK	IFHK	IFHK	7945
30119	MFHK	MFHK	MFHK	
30120	MFHLB	MFHLB	MFHLB	
30121	MFHM	MFHQM	MFHQM	24BDA
30122	IFHML	IFHML	IFHML	7948
30122	MFHML	MFHML	MFHML	23098
30123	MFHMR	MFHMR	MFHMR	
30124	MFHM1	XMFHM	MFHML	
30125	MFHN	MFHN	MFHN	20636
30126	MFHND	MFHND	MFHND	
30127	IFHNE	IFHNE	IFHNE	794B
30127	MFHNE	MFHNE	MFHNE	
30128	MFHNI	MFHNI	MFHNI	98C4
30129	MFHNK	MFHNK	MFHNK	98D8
30130	MFHNY	MFHNY	MFHNY	
30131	MFHN1	MFHON	MFHON	275E9
30132	MFHN2	XMFHN	MFHN	
30133	MFHN3			295B2
30134	MFHOO	MFHOO	MFHOO	
30135	MFHQ	MFHQ	MFHQ	2462E
30136	MFHQI	MFHQI	MFHQI	
30137	IFHQO	IFHQO	IFHQO	7951
30137	MFHQO	MFHQO	MFHQO	
30138	IFHGR	IFHGR	IFHGR	7970
30138	MFHQR	MFHQR	MFHQR	
30139	MFHQU	MFHQU	MFHQU	23BC5
30140	MFHRR	MFHRR	MFHRR	
30141	MFHSB	MFHSB	MFHSB	
30142	MFHSS	MFHSM	MFHSM	
30143	MFHT	MFHT	MFHT	
30144	MFHT1	MFHBT	MFHBT	275AF
30145	MFHUA	MFHPA	MFHPA	
30146	IFHUC	IFHUC	IFHUC	79B6
30146	MFHUC	MFHUC	MFHUC	
30147	MFHUI	MFHVI	MFHVI	
30148	IFHUI	IFHVI	IFHVI	7957
30148	IFHUM	IFHPM	IFHPM	7957
30148	MFHUM	MFHPM	MFHPM	23C4A
30149	IFHUP	IFHVP	IFHVP	7947
30149	MFHUP	MFHVP	MFHVP	
30150	MFHUR	MFHPR	MFHPR	
30151	MFHU1	XMFHP	MFHPM	
30152	MFHWI	MFHUI	MFHUI	29CA1
30153	MFHWJ	MFHWJ	MFHWJ	
30154	MFHWS	MFHWS	MFHWS	
30155	MFHW1	XMFHU	MFHUI	29C9A
30156	IFHYN	IFHYN	IFHYN	79A0
30156	IFHYU	IFHYU	IFHYU	79A0
30156	MFHYU	MFHYU	MFHYU	
30157	MFHZ	MFHAF	MFHAF	9D00
30158	MFI	MFI	MFI	
30159	MFIBI	MFIBI	MFIBI	
30160	MFICE	MFICE	MFICE	
30161	MFIJB	MFIJB	MFIJB	25673
30162	MFIJE	MFIJE	MFIJE	
30163	MFIJ1	XMFIJ	MFIJB	
30164	IFIKE	IFIKE	IFIKE	7953
30164	IFIKK	IFIKK	IFIKK	7953
30164	MFIKK	MFIKK	MFIKK	
30165	MFILO	MFILO	MFILO	
30166	MFILR	MFILR	MFILR	
30167	MFIOR	MFIOR	MFIOR	
30168	MFIP	MFIP	MFIP	
30169	MFIR	MFIR	MFIR	
30170	MFISB	MFISB	MFISB	
30171	MFISS	MFISM	MFISM	
30172	IFIT	IFIT	IFIT	7974
30172	MFIT	MFIT	MFIT	
30173	MFITC	MFITC	MFITC	2571F
30174	MFIXO	MFIHO	MFIHO	
30175	MFIXP	MFIXP	MFIXP	
30176	MFJ	MFJ	MFJ	5E73
30177	MFJBC	MFJBC	MFJBC	
30178	MFJBM	XMFJB	MFJBM	
30179	IFJBM	IFJBM	IFJBM	7983
30179	MFJBV	MFJBV	MFJBV	
30180	MFJB1	XXMFJ	MFJBM	20047
30181	MFJC			
30182	MFJD	MFJD	MFJD	
30183	MFJE	MFJE	MFJE	
30184	MFJG	MJG	MJG	2129E
30185	MFJHR	MFJHR	MFJHR	
30186	MFJM	MFJBM	MFJBM	20046
30187	MFJMF	MFJMF	MFJMF	
30188	MFJMZ	XMJMB	MJMBC	29473
30189	MFJP	MFJP	MFJP	
30190	IFJR	IFJR	IFJR	795C
30190	MFJR	MFJR	MFJR	
30191	MFJTF	MFJTF	MFJTF	
30192	MFJV	MFJV	MFJV	
30193	MFJWI	MFJII	MFJII	
30194	MFJWP	MFJIP	MFJIP	
30195	MFJ1	XMFJ	MFJ	353B
30196	MFK	MFK	MFK	5940
30197	MFKBB	MFKPB	MFKPB	
30198	MFKCF	MFKCF	MFKCF	
30199	MFKJT	MFKJT	MFKJT	
30200	MFKLU	MFKLU	MFKLU	
30201	MFKLV	MFKLV	MFKLV	
30202	MFKM	MFKM	MFKM	
30203	MFKMB	MFKMB	MFKMB	
30204	MFKMR	MFKMR	MFKMR	
30205	MFKNJ	MFKNJ	MFKNJ	
30206	MFKOO	MFKOO	MFKOO	
30207	IFKR	IFKR	IFKR	7950
30207	MFKR	MFKR	MFKR	
30208	MFKRB	MFKRB	MFKRB	
30209	IFL	IFL	IFL	794C
30209	MFL	MFL	MFL	
30210	MFLBK	MFLBK	MFLBK	
30211	MFLLN	MFLLN	MFLLN	
30212	MFLNH	MFLXH	MFLXH	2564C
30213	MFLPB	MFLPB	MFLPB	
30214	MFLPC	MFLPC	MFLPC	
30215	IFLUO	IFLMO	IFLMO	7967
30215	MFLUO	MFLMO	MFLMO	
30216	MFLW	MFLW	MFLW	
30217	IFLWL	IFLWL	IFLWL	795E
30217	MFLWL	MFLWL	MFLWL	2564D
30218	MFLWV	MFLLV	MFLLV	
30219	MFLW1	XMFLW	MFLWL	
30220	IFLXL	IFLXL	IFLXL	
30220	MFLXL	MFLXL	MFLXL	4117
30221	MFM	MFM	MFM	4E15
30222	MFMAK	MFMAK	MFMAK	
30223	MFMBC			
30224	MFMBE	MFMBE	MFMBE	
30225	MFMBG	MFMBG	MFMBG	2572C
30226	IFMWJ	IFMWJ	IFMWJ	79AB
30226	MFMBJ	MFMBJ	MFMBJ	
30227	MFMBP	MFMMP	MFMMP	
30228	MFMB1			25726
30229	MFMCW	MFMCW	MFMCW	
30230	MFMC1	XMFMC	MFMCW	
30231	IFMFB	IFMFB	IFMFB	79B0
30231	MFMFB	MFMFB	MFMFB	
30232	MFMFF	MFMFF	MFMFF	53B5
30233	MFMFJ	MFMFJ	MFMFJ	
30234	MFMFM	MFMFM	MFMFM	
30235	MFMG	MFMG	MFMG	
30236	MFMHZ	XXXMD	MMHAF	4CB9
30237	MFMIG	MFMIG	MFMIG	
30238	MFMJ	MFMJ	MFMJ	
30239	MFMJ1	XMFMJ	MFMJ	22193
30240	IFMK	IFMK	IFMK	7946
30240	MFMK	MFMK	MFMK	
30241	MFMLK	MFMLK	MFMLK	
30242	IFMMF	IFMMF	IFMMF	7958
30242	MFMMF	MFMMF	MFMMF	7958
30243	MFMMI	MFMMI	MFMMI	
30244	MFMML	MFMML	MFMML	
30245	MFMMV	MFMMV	MFMMV	
30246	MFMMZ	XXMMM	MMMBC	4AB9
30247	MFMNL	MMNL	MMNL	90B3
30248	MFMNR	MFMNR	MFMNR	
30249	MFMOM	MFMOM	MFMOM	
30250	MFMOR	MFMOR	MFMOR	
30251	MFMP	MFMP	MFMP	23A00
30252	IFMR	IFMR	IFMR	794F
30252	MFMR	MFMR	MFMR	
30253	MFMRM	MFMVM	MFMVM	
30254	MFMRT	MFMRT	MFMRT	
30255	IFMRW	IFMRW	IFMRW	798F
30255	MFMRW	MFMRW	MFMRW	
30256	MFMR1	XMFMR	MFMR	
30257	MFMSO	MFMSO	MFMSO	
30258	IFMTB	IFMTB	IFMTB	79B2
30258	MFMTB	MFMTB	MFMTB	
30259	MFMUN	MFMVN	MFMVN	3F3C
30260	MFMU1	XMFMV	MFMVN	24B2D
30261	MFMU2	XXMFM	MFMVN	24B81
30262	MFMU3			
30263	MFMV	MFMWV	MFMWV	5AD1
30264	MFMVI	MFMVI	MFMVI	
30265	MFMV1			
30266	MFMWF	MFMWF	MFMWF	
30267	IFMWG	IFMWG	IFMWG	798B
30267	MFMWG	MFMWG	MFMWG	
30268	MFMWJ	MFMWJ	MFMWJ	
30269	MFMWU	MFMWU	MFMWU	
30270	MFMX	MFMYM	MFMYM	6B6A
30271	MFMX1	XMFMY	MFMYM	
30272	MFMZ			29462
30273	MFMZB	MFMBB	MFMBB	
30274	MFMZO	MFMBO	MFMBO	
30275	MFMZR	MFMBR	MFMBR	25727
30276	MFN	MFN	MFN	
30277	MFNAU	MFNAU	MFNAU	
30278	IFNF	IFNF	IFNF	7962
30278	IFOF1	XIFOF	IFOF	
30278	MFNF	MFNF	MFNF	
30279	IFNH	IFNHS	IFNHS	793D
30279	MFNH	MFNHS	MFNHS	
30280	MFNHD	MFNSD	MFNSD	
30281	MFNHE	MFNHE	MFNHE	
30282	MFNL	XXMFN	MFNL	28680
30283	MFNMK	MFNMK	MFNMK	
30284	MFNMU	MFNMU	MFNMU	
30285	MFNYB	MFNOB	MFNOB	
30286	MFNYR	MFNCR	MFNCR	
30287	MFNZB	MFNHB	MFNHB	
30288	MFOA	XMFOM	MFOMA	
30289	MFOAH	MFOAH	MFOAH	
30290	MFOB	MFOBO	MFOBO	26642
30291	MFOBN	MFOMN	MFOMN	
30292	MFOBT	XXMFO	MFOMB	
30293	IFOBN	IFOMN	IFOMN	
30293	MFOBV	MFOMV	MFOMV	4116
30294	MFOBY	MFOBY	MFOBY	
30295	IFODI	IFODI	IFODI	7954
30295	MFODI	MFODI	MFODI	
30296	MFOF	MFOF	MFOF	
30297	MFOG	MFOOG	MFOOG	21342
30298	MFOGF	MFOGF	MFOGF	
30299	MFOHG	MFOHG	MFOHG	
30300	MFOHH	MFOHH	MFOHH	
30301	IFOHV	IFOHV	IFOHV	7963
30301	MFOHV	MFOHV	MFOHV	
30302	MFOI	MFOMI	MFOMI	2003E
30303	MFOIU	MFOIU	MFOIU	
30304	MFOJ	MFOJ	MFOJ	
30305	IFOLL	IFOLL	IFOLL	7944
30305	MFOLL	MFOLL	MFOLL	
30306	MFOLO	MFOLO	MFOLO	
30307	MFOM	MFOM	MFOM	
30308	MFOMG	MFOMG	MFOMG	
30309	MFON	MFOIN	MFOIN	
30310	MFONG	MFONG	MFONG	
30311	MFONP	MFOIP	MFOIP	
30312	MFOOA	MFOOA	MFOOA	
30313	MFOPD	MFOPD	MFOPD	
30314	IFOR	IFOMR	IFOMR	796B
30314	MFOR	MFOMR	MFOMR	
30315	IFORB	IFOMB	IFOMB	79B4
30315	MFORB	MFOMB	MFOMB	
30316	MFORO	MFOMO	MFOMO	
30317	MFORT	MFORT	MFORT	
30318	IFOS	IFOS	IFOS	795A
30318	MFOS	MFOS	MFOS	
30319	MFOTZ	MFOTC	MFOTC	
30320	MFOV	MFOIV	MFOIV	4B29
30321	IFOWA	IFOMA	IFOMA	79AC
30321	MFOWA	MFOMA	MFOMA	2005E
30322	MFP			
30323	MFPA	MFPA	MFPA	
30324	IFJBC	IFJBC	IFJBC	799B
30324	MFPBC	MFPBC	MFPBC	
30325	MFPD	MFPD	MFPD	
30326	IFPH	IFPH	IFPH	7955
30326	MFPH	MFPH	MFPH	
30327	MFPHG	MFPHG	MFPHG	
30328	MFPHH	MFPHH	MFPHH	
30329	MFPI	MFPI	MFPI	
30330	MFPIM	MFPIM	MFPIM	
30331	MFPJC	MFPJC	MFPJC	
30332	IFPI	IFPI	IFPI	793F
30332	MFPM	MFPM	MFPM	
30333	MFPMM	MFPMM	MFPMM	
30334	IFPOU	IFPOU	IFPOU	7979
30334	MFPOU	MFPOU	MFPOU	
30335	MFPP	MFPP	MFPP	
30336	MFPPA	MFPPA	MFPPA	
30337	MFPR	MFPR	MFPR	
30338	MFPT	MFPT	MFPT	
30339	MFP1	XMFP	MFP	
30340	MFP2	XXMFP	MFP	225EB
30341	MFP3			
30342	MFQA	MFJKA	MFJKA	
30343	IFQHK	IFQHK	IFQHK	798A
30343	MFQHK	MFQHK	MFQHK	
30344	MFQIA	XMFJK	MFJKA	
30345	MFQKI	MFQKI	MFQKI	
30346	MFQKX	MFQKX	MFQKX	
30347	MFQO	MFQO	MFQO	
30348	MFQP	MFJKP	MFJKP	
30349	MFR	MFR	MFR	5426
30350	MFRBC	XMFRB	MFRBC	
30351	MFRC	MFRBC	MFRBC	27D8F
30352	MFRHG	MFRHG	MFRHG	
30353	IFRHU	IFRHU	IFRHU	795D
30353	MFRHU	MFRHU	MFRHU	25631
30354	MFRH1	XMFRH	MFRHU	
30355	MFRLB	MFRLB	MFRLB	
30356	IFRME	IFVNE	IFVNE	797F
30356	MFRME	MFVNE	MFVNE	
30357	MFRMG	MFRMG	MFRMG	
30358	IFRMO	IFVNO	IFVNO	7992
30358	MFRMO	MFVNO	MFVNO	
30359	MFRMZ	XXMRM	MRMBC	4ACA
30360	MFRNL			286D4
30361	MFRR	MFRLR	MFRLR	
30362	IFRRJ	IFRRJ	IFRRJ	79AA
30362	MFRRJ	MFRRJ	MFRRJ	
30363	MFRSJ	MFRSJ	MFRSJ	
30364	IFRU	IFRU	IFRU	7940
30364	MFRU	MFRU	MFRU	
30365	MFRUG	MFRPG	MFRPG	
30366	MFRVB	MFRVB	MFRVB	
30367	MFRVK	MFRVK	MFRVK	
30368	IFSBE	IFSME	IFSME	7972
30368	MFSBE	MFSME	MFSME	
30369	MFSE	MFNME	MFNME	
30370	MFSEQ	MFSEQ	MFSEQ	
30371	MFSE1	MFSJE	MFSJE	2656A
30372	MFSH	MFSH	MFSH	
30373	MFSHP	MFSIP	MFSIP	
30374	IFSHR	IFSHR	IFSHR	7952
30374	MFSHR	MFSHR	MFSHR	
30375	MFSHU	MFSHU	MFSHU	
30376	MFSIT	MFSIT	MFSIT	
30377	MFSJ	MFSJ	MFSJ	
30378	MFSJO	MFSJK	MFSJK	
30379	MFSJR	MFSJR	MFSJR	
30380	MFSKQ	MFSRQ	MFSRQ	
30381	MFSL	MFSJL	MFSJL	2004C
30382	IFSMR	IFSMR	IFSMR	7960
30382	MFSMR	MFSMR	MFSMR	
30383	MFSMT	MFSMT	MFSMT	
30384	IFSQF	IFSQF	IFSQF	79A1
30384	MFSQF	MFSQF	MFSQF	
30385	MFSS	MFSMM	MFSMM	7FF2
30386	MFSSG	MFSMG	MFSMG	
30387	IFSS	IFSMM	IFSMM	7964
30387	MFSS1	XMFSM	MFSMM	
30388	MFSS2	MFSS	MFSS	
30389	MFSV	MFSMV	MFSMV	28C65
30390	MFT	MFT	MFT	
30391	MFTA	MFTA	MFTA	
30392	MFTAA	MFTAA	MFTAA	
30393	MFTBI	MFTBI	MFTBI	
30394	MFTC	MFTC	MFTC	
30395	MFTCW	MFTCW	MFTCW	
30396	IFTGF	IFTGF	IFTGF	799A
30396	MFTGF	MFTGF	MFTGF	
30397	MFTGR	MFTGR	MFTGR	
30398	MFTHK	MFTHK	MFTHK	
30399	MFTK	MFTGK	MFTGK	2004D
30400	MFTM	MFTM	MFTM	
30401	IFTMD	IFTMD	IFTMD	7996
30401	MFTMD	MFTMD	MFTMD	
30402	MFTMJ	MFTMJ	MFTMJ	
30403	MFTM1	XMFTM	MFTMJ	
30404	MFTPD	MFTPD	MFTPD	
30405	IFTQ	IFTQ	IFTQ	7965
30405	MFTQ	MFTQ	MFTQ	
30406	MFTQR	MFTTR	MFTTR	
30407	IFTV	IFTVI	IFTVI	798C
30407	MFTV	MFTVI	MFTVI	
30408	MFTWA	MFTWA	MFTWA	
30409	MFTWB	MFTWB	MFTWB	
30410	IFTWT	IFTWT	IFTWT	79AE
30410	MFTWT	MFTWT	MFTWT	
30411	IFTWV	IFTWV	IFTWV	79AF
30411	MFTWV	MFTWV	MFTWV	
30412	MFTXE	MFTCE	MFTCE	
30413	IFTZ	IFTMC	IFTMC	797A
30413	MFTZ	MFTMC	MFTMC	
30414	IFTZG	IFTCG	IFTCG	79A5
30414	MFTZG	MFTCG	MFTCG	
30415	MFTZV	MFTMV	MFTMV	
30416	MFU	MFU	MFU	
30417	MFUCE	MFUCE	MFUCE	
30418	MFUJF	MFUJF	MFUJF	
30419	MFUJT	MFUJT	MFUJT	2572A
30420	MFUMB	MFUMB	MFUMB	
30421	MFUU	MFUU	MFUU	
30422	MFV	MFVL	MFVL	
30423	MFVD	MFVND	MFVND	5B6C
30424	IFVII	IFVII	IFVII	79A8
30424	IFVIK	IFVIK	IFVIK	79A8
30424	MFVII	MFVII	MFVII	
30425	MFVIK	MFVIK	MFVIK	
30426	MFVVW	MFVVW	MFVVW	
30427	MFW	MFW	MFW	24C3A
30428	MFWB	MFWB	MFWB	
30429	MFWC	MFWRC	MFWRC	2122F
30430	IFWCE	IFWCE	IFWCE	799D
30430	MFWCE	MFWCE	MFWCE	
30431	IFWD	IFWD	IFWD	797C
30431	MFWD	MFWD	MFWD	2568C
30432	IFWD1	XIFWD	IFWD	7975
30432	MFWD1	XMFWD	MFWD	
30433	MFWD2	XXMFW	MFWD	
30434	MFWG	MFWG	MFWG	
30435	IFWIB	IFWLB	IFWLB	7991
30435	MFWIB	MFWLB	MFWLB	
30436	IFWJR	IFWJR	IFWJR	797B
30436	MFWJR	MFWJR	MFWJR	
30437	MFWK	MFWK	MFWK	
30438	MFWLL	MFWLJ	MFWLJ	
30439	IFWLS	IFWLM	IFWLM	79A4
30439	MFWLS	MFWLM	MFWLM	
30440	MFWML	MFWML	MFWML	
30441	MFWMV	MFWMV	MFWMV	
30442	IFWP	IFWP	IFWP	7997
30442	MFWP	MFWP	MFWP	
30443	IFWTC	IFWTC	IFWTC	79A9
30443	MFWTC	MFWTC	MFWTC	256F4
30444	MFWTJ	MFWTJ	MFWTJ	
30445	MFWT1	XMFWT	MFWTC	
30446	MFWVF	MFWVF	MFWVF	
30447	IFX	IFYLM	IFYLM	7949
30447	MFX	MFYLM	MFYLM	
30448	MFXLH	MFYLH	MFYLH	
